Time [s],Current [A],Voltage [V],X-averaged cell temperature [K],TimeDiff,CapacityDiff,SOC
17.0,10.0,3.8740305576177363,298.15,1.0,-0.002777777777777778,0.990555555555556
18.0,10.0,3.871919165172046,298.15,1.0,-0.002777777777777778,0.9900000000000004
19.0,10.0,3.869967684267585,298.15,1.0,-0.002777777777777778,0.9894444444444449
20.0,10.0,3.8681569832385696,298.15,1.0,-0.002777777777777778,0.9888888888888894
21.0,10.0,3.866468870245531,298.15,1.0,-0.002777777777777778,0.9883333333333338
22.0,10.0,3.8648860610977165,298.15,1.0,-0.002777777777777778,0.9877777777777783
23.0,10.0,3.8633929878884556,298.15,1.0,-0.002777777777777778,0.9872222222222228
24.0,10.0,3.861977280374624,298.15,1.0,-0.002777777777777778,0.9866666666666672
25.0,10.0,3.860626663901664,298.15,1.0,-0.002777777777777778,0.9861111111111117
26.0,10.0,3.859329681092712,298.15,1.0,-0.002777777777777778,0.9855555555555562
27.0,10.0,3.8580770375476936,298.15,1.0,-0.002777777777777778,0.9850000000000007
28.0,10.0,3.8568609968390524,298.15,1.0,-0.002777777777777778,0.9844444444444451
29.0,10.0,3.8556749351771544,298.15,1.0,-0.002777777777777778,0.9838888888888896
30.0,10.0,3.8545133758090806,298.15,1.0,-0.002777777777777778,0.9833333333333341
31.0,10.0,3.8533722863819886,298.15,1.0,-0.002777777777777778,0.9827777777777785
32.0,10.0,3.852247935025721,298.15,1.0,-0.002777777777777778,0.982222222222223
33.0,10.0,3.851137747541511,298.15,1.0,-0.002777777777777778,0.9816666666666675
34.0,10.0,3.8500395472172064,298.15,1.0,-0.002777777777777778,0.9811111111111119
35.0,10.0,3.848951579036071,298.15,1.0,-0.002777777777777778,0.9805555555555564
36.0,10.0,3.847872249936879,298.15,1.0,-0.002777777777777778,0.9800000000000009
37.0,10.0,3.8467999414000786,298.15,1.0,-0.002777777777777778,0.9794444444444453
38.0,10.0,3.845733472491038,298.15,1.0,-0.002777777777777778,0.9788888888888898
39.0,10.0,3.844672282931467,298.15,1.0,-0.002777777777777778,0.9783333333333343
40.0,10.0,3.8436153933045896,298.15,1.0,-0.002777777777777778,0.9777777777777787
41.0,10.0,3.842561771243067,298.15,1.0,-0.002777777777777778,0.9772222222222232
42.0,10.0,3.8415108447417197,298.15,1.0,-0.002777777777777778,0.9766666666666677
43.0,10.0,3.840462041120059,298.15,1.0,-0.002777777777777778,0.9761111111111122
44.0,10.0,3.8394148408324145,298.15,1.0,-0.002777777777777778,0.9755555555555566
45.0,10.0,3.8383683666362742,298.15,1.0,-0.002777777777777778,0.9750000000000011
46.0,10.0,3.8373220996407142,298.15,1.0,-0.002777777777777778,0.9744444444444456
47.0,10.0,3.8362758501521874,298.15,1.0,-0.002777777777777778,0.97388888888889
48.0,10.0,3.835229254525448,298.15,1.0,-0.002777777777777778,0.9733333333333345
49.0,10.0,3.834181566849435,298.15,1.0,-0.002777777777777778,0.972777777777779
50.0,10.0,3.8331323633580303,298.15,1.0,-0.002777777777777778,0.9722222222222234
51.0,10.0,3.832081672611081,298.15,1.0,-0.002777777777777778,0.9716666666666679
52.0,10.0,3.831029217132728,298.15,1.0,-0.002777777777777778,0.9711111111111124
53.0,10.0,3.8299745731670027,298.15,1.0,-0.002777777777777778,0.9705555555555568
54.0,10.0,3.8289173858556564,298.15,1.0,-0.002777777777777778,0.9700000000000013
55.0,10.0,3.8278574839558233,298.15,1.0,-0.002777777777777778,0.9694444444444458
56.0,10.0,3.8267947112357144,298.15,1.0,-0.002777777777777778,0.9688888888888902
57.0,10.0,3.8257288915524077,298.15,1.0,-0.002777777777777778,0.9683333333333347
58.0,10.0,3.8246599825275416,298.15,1.0,-0.002777777777777778,0.9677777777777792
59.0,10.0,3.8235878400307213,298.15,1.0,-0.002777777777777778,0.9672222222222236
60.0,10.0,3.8225124534102104,298.15,1.0,-0.002777777777777778,0.9666666666666681
61.0,10.0,3.8214337211344533,298.15,1.0,-0.002777777777777778,0.9661111111111126
62.0,10.0,3.820351633177414,298.15,1.0,-0.002777777777777778,0.965555555555557
63.0,10.0,3.8192661348481733,298.15,1.0,-0.002777777777777778,0.9650000000000015
64.0,10.0,3.8181773681299567,298.15,1.0,-0.002777777777777778,0.964444444444446
65.0,10.0,3.817085307580003,298.15,1.0,-0.002777777777777778,0.9638888888888905
66.0,10.0,3.8159899995186026,298.15,1.0,-0.002777777777777778,0.9633333333333349
67.0,10.0,3.8148914675776204,298.15,1.0,-0.002777777777777778,0.9627777777777794
68.0,10.0,3.8137899605083048,298.15,1.0,-0.002777777777777778,0.9622222222222239
69.0,10.0,3.8126855858493647,298.15,1.0,-0.002777777777777778,0.9616666666666683
70.0,10.0,3.8115784501666434,298.15,1.0,-0.002777777777777778,0.9611111111111128
71.0,10.0,3.8104686743627103,298.15,1.0,-0.002777777777777778,0.9605555555555573
72.0,10.0,3.8093563478469377,298.15,1.0,-0.002777777777777778,0.9600000000000017
73.0,10.0,3.8082414512879836,298.15,1.0,-0.002777777777777778,0.9594444444444462
74.0,10.0,3.8071243889144526,298.15,1.0,-0.002777777777777778,0.9588888888888907
75.0,10.0,3.80600524895167,298.15,1.0,-0.002777777777777778,0.9583333333333351
76.0,10.0,3.8048850197347988,298.15,1.0,-0.002777777777777778,0.9577777777777796
77.0,10.0,3.8037636919297633,298.15,1.0,-0.002777777777777778,0.9572222222222241
78.0,10.0,3.802640142802827,298.15,1.0,-0.002777777777777778,0.9566666666666686
79.0,10.0,3.801514580947778,298.15,1.0,-0.002777777777777778,0.956111111111113
80.0,10.0,3.8003889013300087,298.15,1.0,-0.002777777777777778,0.9555555555555575
81.0,10.0,3.799263465869191,298.15,1.0,-0.002777777777777778,0.955000000000002
82.0,10.0,3.798137663923819,298.15,1.0,-0.002777777777777778,0.9544444444444464
83.0,10.0,3.7970118895178278,298.15,1.0,-0.002777777777777778,0.9538888888888909
84.0,10.0,3.7958858522235905,298.15,1.0,-0.002777777777777778,0.9533333333333354
85.0,10.0,3.7947597742251657,298.15,1.0,-0.002777777777777778,0.9527777777777798
86.0,10.0,3.793634397523731,298.15,1.0,-0.002777777777777778,0.9522222222222243
87.0,10.0,3.792509884912584,298.15,1.0,-0.002777777777777778,0.9516666666666688
88.0,10.0,3.7913865338389705,298.15,1.0,-0.002777777777777778,0.9511111111111132
89.0,10.0,3.790264534791067,298.15,1.0,-0.002777777777777778,0.9505555555555577
90.0,10.0,3.789143888944014,298.15,1.0,-0.002777777777777778,0.9500000000000022
91.0,10.0,3.7880248372261813,298.15,1.0,-0.002777777777777778,0.9494444444444466
92.0,10.0,3.78690757659926,298.15,1.0,-0.002777777777777778,0.9488888888888911
93.0,10.0,3.7857923291164126,298.15,1.0,-0.002777777777777778,0.9483333333333356
94.0,10.0,3.7846793413678883,298.15,1.0,-0.002777777777777778,0.94777777777778
95.0,10.0,3.7835688835234746,298.15,1.0,-0.002777777777777778,0.9472222222222245
96.0,10.0,3.7824609563990794,298.15,1.0,-0.002777777777777778,0.946666666666669
97.0,10.0,3.781355815074827,298.15,1.0,-0.002777777777777778,0.9461111111111135
98.0,10.0,3.780253459405806,298.15,1.0,-0.002777777777777778,0.9455555555555579
99.0,10.0,3.779154405389609,298.15,1.0,-0.002777777777777778,0.9450000000000024
100.0,10.0,3.778058559155056,298.15,1.0,-0.002777777777777778,0.9444444444444469
101.0,10.0,3.776966668661015,298.15,1.0,-0.002777777777777778,0.9438888888888913
102.0,10.0,3.7758784768135194,298.15,1.0,-0.002777777777777778,0.9433333333333358
103.0,10.0,3.774793838955709,298.15,1.0,-0.002777777777777778,0.9427777777777803
104.0,10.0,3.7737128295242823,298.15,1.0,-0.002777777777777778,0.9422222222222247
105.0,10.0,3.772635659198492,298.15,1.0,-0.002777777777777778,0.9416666666666692
106.0,10.0,3.7715624818156184,298.15,1.0,-0.002777777777777778,0.9411111111111137
107.0,10.0,3.770493913859857,298.15,1.0,-0.002777777777777778,0.9405555555555581
108.0,10.0,3.769430024754027,298.15,1.0,-0.002777777777777778,0.9400000000000026
109.0,10.0,3.768370601165138,298.15,1.0,-0.002777777777777778,0.9394444444444471
110.0,10.0,3.7673157659259022,298.15,1.0,-0.002777777777777778,0.9388888888888915
111.0,10.0,3.766265443221355,298.15,1.0,-0.002777777777777778,0.938333333333336
112.0,10.0,3.7652197715497255,298.15,1.0,-0.002777777777777778,0.9377777777777805
113.0,10.0,3.7641789495272553,298.15,1.0,-0.002777777777777778,0.937222222222225
114.0,10.0,3.763143038838746,298.15,1.0,-0.002777777777777778,0.9366666666666694
115.0,10.0,3.7621120386434317,298.15,1.0,-0.002777777777777778,0.9361111111111139
116.0,10.0,3.7610861895847827,298.15,1.0,-0.002777777777777778,0.9355555555555584
117.0,10.0,3.760065550826397,298.15,1.0,-0.002777777777777778,0.9350000000000028
118.0,10.0,3.7590499548418967,298.15,1.0,-0.002777777777777778,0.9344444444444473
119.0,10.0,3.758039400754379,298.15,1.0,-0.002777777777777778,0.9338888888888918
120.0,10.0,3.7570338879612253,298.15,1.0,-0.002777777777777778,0.9333333333333362
121.0,10.0,3.7560334252345333,298.15,1.0,-0.002777777777777778,0.9327777777777807
122.0,10.0,3.755038771862391,298.15,1.0,-0.002777777777777778,0.9322222222222252
123.0,10.0,3.7540496574042437,298.15,1.0,-0.002777777777777778,0.9316666666666696
124.0,10.0,3.7530656720781987,298.15,1.0,-0.002777777777777778,0.9311111111111141
125.0,10.0,3.7520869847841434,298.15,1.0,-0.002777777777777778,0.9305555555555586
126.0,10.0,3.7511137860359263,298.15,1.0,-0.002777777777777778,0.930000000000003
127.0,10.0,3.7501459683271774,298.15,1.0,-0.002777777777777778,0.9294444444444475
128.0,10.0,3.749183327763898,298.15,1.0,-0.002777777777777778,0.928888888888892
129.0,10.0,3.748225971958198,298.15,1.0,-0.002777777777777778,0.9283333333333365
130.0,10.0,3.7472743716156174,298.15,1.0,-0.002777777777777778,0.9277777777777809
131.0,10.0,3.7463284143997946,298.15,1.0,-0.002777777777777778,0.9272222222222254
132.0,10.0,3.745387838932176,298.15,1.0,-0.002777777777777778,0.9266666666666699
133.0,10.0,3.744452681682467,298.15,1.0,-0.002777777777777778,0.9261111111111143
134.0,10.0,3.7435228853408837,298.15,1.0,-0.002777777777777778,0.9255555555555588
135.0,10.0,3.74259847300179,298.15,1.0,-0.002777777777777778,0.9250000000000033
136.0,10.0,3.7416794897727588,298.15,1.0,-0.002777777777777778,0.9244444444444477
137.0,10.0,3.7407658784453037,298.15,1.0,-0.002777777777777778,0.9238888888888922
138.0,10.0,3.7398576272728423,298.15,1.0,-0.002777777777777778,0.9233333333333367
139.0,10.0,3.73895479786463,298.15,1.0,-0.002777777777777778,0.9227777777777811
140.0,10.0,3.7380573910557278,298.15,1.0,-0.002777777777777778,0.9222222222222256
141.0,10.0,3.7371651859917483,298.15,1.0,-0.002777777777777778,0.9216666666666701
142.0,10.0,3.7362782194013864,298.15,1.0,-0.002777777777777778,0.9211111111111145
143.0,10.0,3.7353965174369703,298.15,1.0,-0.002777777777777778,0.920555555555559
144.0,10.0,3.734520064393497,298.15,1.0,-0.002777777777777778,0.9200000000000035
145.0,10.0,3.7336486567751113,298.15,1.0,-0.002777777777777778,0.919444444444448
146.0,10.0,3.73278228868264,298.15,1.0,-0.002777777777777778,0.9188888888888924
147.0,10.0,3.731921241755277,298.15,1.0,-0.002777777777777778,0.9183333333333369
148.0,10.0,3.731065457654922,298.15,1.0,-0.002777777777777778,0.9177777777777814
149.0,10.0,3.7302146921868546,298.15,1.0,-0.002777777777777778,0.9172222222222258
150.0,10.0,3.729368941060417,298.15,1.0,-0.002777777777777778,0.9166666666666703
151.0,10.0,3.7285281406572706,298.15,1.0,-0.002777777777777778,0.9161111111111148
152.0,10.0,3.7276922446067378,298.15,1.0,-0.002777777777777778,0.9155555555555592
153.0,10.0,3.726861241431621,298.15,1.0,-0.002777777777777778,0.9150000000000037
154.0,10.0,3.7260351041514435,298.15,1.0,-0.002777777777777778,0.9144444444444482
155.0,10.0,3.725213850892177,298.15,1.0,-0.002777777777777778,0.9138888888888926
